name,Cardinality,DataType,AssociatedObjectClass,cyclic,Definition,Examples
cbc:VariantID,0..1,IdentifierType,,,An identifier for this variant of a tendered project.,
cbc:FeeAmount,0..1,AmountType,,,The fee amount for tendered projects.,
cbc:FeeDescription,0..n,TextType,,,Text describing the fee amount for tendered projects.,
cbc:TenderEnvelopeID,0..1,IdentifierType,,,An identifier for the tender envelope this tendered project belongs to.,
cbc:TenderEnvelopeTypeCode,0..1,CodeType,,,A code signifying the type of tender envelope this tendered project belongs to.,
cac:ProcurementProjectLot,0..1,,ProcurementProjectLot,,"The procurement project lot to which this Tender Line refers to. If there are no lots, this should not be defined.",
cac:EvidenceDocumentReference,0..n,,DocumentReference,,A reference to a non-structured evidentiary document supporting this tendered project.,
cac:TaxTotal,0..n,,TaxTotal,,A total amount of taxes of a particular kind applicable to the monetary total for this tendered project.,
cac:LegalMonetaryTotal,0..1,,MonetaryTotal,,The total amount for this tendered project.,
cac:TenderLine,0..n,,TenderLine,,A line in the tender for this tendered project.,
cac:AwardingCriterionResponse,0..n,,AwardingCriterionResponse,,An association to an Awarding Criterion Response.,
cac:TendererPartyQualification,,,,,A class to describe the qualifications of a tenderer party.,
cac:InterestedProcurementProjectLot,0..n,,ProcurementProjectLot,,The procurement project lot the party is interested in.,
cac:MainQualifyingParty,1,,QualifyingParty,,The qualifications of the main tenderer party.,
cac:AdditionalQualifyingParty,0..n,,QualifyingParty,,The qualifications of a tenderer party other than the main tenderer party when bidding as a consortium.,
cac:TendererQualificationRequest,,,,,The evaluation that the Contracting Authority party requests to fulfill to the tenderers.,
cbc:CompanyLegalFormCode,0..1,CodeType,,,"The legal status requested for potential tenderers, expressed as a code.",
cbc:CompanyLegalForm,0..1,TextType,,,"The legal status requested for potential tenderers, expressed as text",
cbc:PersonalSituation,0..n,TextType,,,Text describing the personal situation of the economic operators in this tendering process.,
cbc:OperatingYearsQuantity,0..1,QuantityType,,,Textual description of the legal form required for potential tenderers.,
cbc:EmployeeQuantity,0..1,QuantityType,,,Textual description of the legal form required for potential tenderers.,
cbc:Description,0..n,TextType,,,Text describing the evaluation requirements for this tenderer.,
cac:RequiredBusinessClassificationScheme,0..n,,ClassificationScheme,,A classification scheme for the business profile.,
cac:TechnicalEvaluationCriterion,0..n,,EvaluationCriterion,,A technical evaluation criterion required for an economic operator in a tendering process.,
cac:FinancialEvaluationCriterion,0..n,,EvaluationCriterion,,A financial evaluation criterion required for an economic operator in a tendering process.,
cac:SpecificTendererRequirement,0..n,,TendererRequirement,,A requirement to be met by a tenderer.,Preregistration in a Business Registry
cac:EconomicOperatorRole,0..n,,EconomicOperatorRole,,A class to describe the tenderer contracting role.,
cac:TendererRequirement,,,,,A class to describe an action or statement required of an economic operator participating in a tendering process.,
cbc:Name,0..n,NameType,,,A name of this tenderer requirement.,
cbc:TendererRequirementTypeCode,0..1,CodeType,,,A code signifying this requirement.,
cbc:Description,0..n,TextType,,,Text describing this requirement.,
cbc:LegalReference,0..1,TextType,,,The legal reference of the exclusion criterion.,Art. 45 2 b
cac:SuggestedEvidence,0..n,,Evidence,,An item of evidence that should be submitted to satisfy this requirement.,
cac:TenderingProcess,,,,,A class to describe the process of a formal offer and response to execute work or supply goods at a stated price.,
cbc:ID,0..1,IdentifierType,,,An identifier for this tendering process.,
cbc:OriginalContractingSystemID,0..1,IdentifierType,,,"When reopening a tendering process, the identifier of the original framework agreement or dynamic purchasing system.",
cbc:Description,0..n,TextType,,,Text describing the tendering process.,
cbc:NegotiationDescription,0..n,TextType,,,Text describing the negotiation to be followed during the tendering process.,
cbc:ProcedureCode,0..1,CodeType,,,A code signifying the type of this tendering procedure.,"Open, Restricted, Negotiated"
cbc:UrgencyCode,0..1,CodeType,,,A code signifying the urgency of this tendering process.,"Urgent, Normal, Emergency"
cbc:ExpenseCode,0..1,CodeType,,,A code signifying the type of expense for this tendering process.,"Normal, Anticipated"
cbc:PartPresentationCode,0..1,CodeType,,,"A code signifying the type of presentation of tenders required (e.g., one lot, multiple lots, or all the lots).","One Lot, Multiple Lots, All Lots"
cbc:ContractingSystemCode,0..1,CodeType,,,"A code signifying the type of contracting system (e.g., framework agreement, dynamic purchasing system). If the procedure is individual (nonrepetitive), this code should be omitted.","Framework Agreement, Dynamic Purchasing System"
cbc:SubmissionMethodCode,0..1,CodeType,,,A code signifying the method to be followed in submitting tenders.,"Manual, Electronically, etc."
cbc:CandidateReductionConstraintIndicator,0..1,IndicatorType,,,An indicator that the number of candidates participating in this process has been reduced (true) or not (false).,1
cbc:GovernmentAgreementConstraintIndicator,0..1,IndicatorType,,,An indicator that the project associated with this tendering process is constrained by a government procurement agreement (true) or not (false).,1
cac:DocumentAvailabilityPeriod,0..1,,Period,,The period during which documents relating to this tendering process must be completed.,
cac:TenderSubmissionDeadlinePeriod,0..1,,Period,,The period during which tenders must be delivered.,
cac:InvitationSubmissionPeriod,0..1,,Period,,The period during which invitations to tender must be completed and delivered.,
cac:ParticipationRequestReceptionPeriod,0..1,,Period,,The period during which requests for participation must be completed and delivered.,
cac:NoticeDocumentReference,0..n,,DocumentReference,,A reference to a notice pertaining to this tendering process.,
cac:AdditionalDocumentReference,0..n,,DocumentReference,,A reference to an additional document.,
cac:ProcessJustification,0..n,,ProcessJustification,,A justification for the selection of this tendering process.,
cac:EconomicOperatorShortList,0..1,,EconomicOperatorShortList,,A set of criteria used to create a short list of candidates.,
cac:OpenTenderEvent,0..n,,Event,,Textual description of the legal form required for potential tenderers.,
cac:AuctionTerms,0..1,,AuctionTerms,,The terms to be fulfilled by tenderers if an auction is to be executed before the awarding of a tender.,
cac:FrameworkAgreement,0..1,,FrameworkAgreement,,A tendering framework agreement.,
cac:TenderingTerms,,,,,A class to describe tendering terms for a tendering process.,
cbc:AwardingMethodTypeCode,0..1,CodeType,,,"A code signifying the awarding method in a tendering process (e.g., a method favoring the tender with the lowest price or the tender that is most economically advantageous).","Price, Multiple criteria"
cbc:PriceEvaluationCode,0..1,CodeType,,,Textual description of the legal form required for potential tenderers.,"Unit prices, global price"
cbc:MaximumVariantQuantity,0..1,QuantityType,,,Maximum number of variants the tenderer is allowed to present for this tendering project.,
cbc:VariantConstraintIndicator,0..1,IndicatorType,,,An indicator that variants are allowed and unconstrained in number (true) or not allowed (false).,1
cbc:AcceptedVariantsDescription,0..n,TextType,,,Text specifying the things for which variants are accepted.,
cbc:PriceRevisionFormulaDescription,0..n,TextType,,,Text describing the formula for price revision.,
cbc:FundingProgramCode,0..1,CodeType,,,"The program that funds the tendering process (e.g., ""National"", ""European""), expressed as a code.",
cbc:FundingProgram,0..n,TextType,,,"The program that funds the tendering process (e.g., EU 6th Framework Program) expressed as text.",
cbc:MaximumAdvertisementAmount,0..1,AmountType,,,The maximum advertised monetary value of the tendering process.,
cbc:Note,0..n,TextType,,,Free-form text conveying information that is not contained explicitly in other structures.,
cbc:PaymentFrequencyCode,0..1,CodeType,,,A code signifying the frequency of payment in the contract associated with the tendering process.,
cbc:EconomicOperatorRegistryURI,0..1,IdentifierType,,,The Uniform Resource Identifier (URI) of an electronic registry of economic operators.,
cbc:RequiredCurriculaIndicator,0..1,IndicatorType,,,An indicator that tenderers are required to provide a curriculum vitae for each participant in the project (true) or are not so required (false).,1
cbc:OtherConditionsIndicator,0..1,IndicatorType,,,"Indicates whether other conditions exist (true) or not (false). If the indicator is true, the description may be provided.",1
cbc:AdditionalConditions,0..n,TextType,,,Other existing conditions.,
cbc:LatestSecurityClearanceDate,0..1,DateType,,,The end date until which the candidates can obtain the necessary level of security clearance.,
cbc:DocumentationFeeAmount,0..1,AmountType,,,The amount to be paid to obtain the contract documents and additional documentation.,
cac:PenaltyClause,0..n,,Clause,,The penalty clauses,
cac:RequiredFinancialGuarantee,0..n,,FinancialGuarantee,,A financial guarantee of a tenderer or bid submitter's actual entry into a contract in the event that it is the successful bidder.,
cac:ProcurementLegislationDocumentReference,0..1,,DocumentReference,,A reference to a document providing references to procurement legislation applicable to the tendering process.,
cac:FiscalLegislationDocumentReference,0..1,,DocumentReference,,A reference to a document providing references to fiscal legislation applicable to the tendering process.,
cac:EnvironmentalLegislationDocumentReference,0..1,,DocumentReference,,A reference to a document providing references to environmental legislation applicable to the tendering process.,
cac:EmploymentLegislationDocumentReference,0..1,,DocumentReference,,A reference to a document providing references to employment legislation applicable to the tendering process.,
cac:ContractualDocumentReference,0..n,,DocumentReference,,A reference to a document that will become part of the awarded contract.,
cac:CallForTendersDocumentReference,0..1,,DocumentReference,,A reference to the Call for Tender associated with these tendering terms.,
cac:WarrantyValidityPeriod,0..1,,Period,,"The period during which a warranty for work, service, or goods associated with these tendering terms is valid.",
